Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.20914602279663086
"('Medium', 'Medium', 'Medium')",1,Heur,884122814.189521,0.003861183959637857,0.003969907760620117
"('Medium', 'Medium', 'Medium')",1,Naive,891295556.5550244,0.8151759926218993,0.0018010139465332031
"('Medium', 'Medium', 'Medium')",2,Relax,961787800.9501334,0.0,0.17333292961120605
"('Medium', 'Medium', 'Medium')",2,Heur,961810483.7452897,0.002358399132722678,0.004187107086181641
"('Medium', 'Medium', 'Medium')",2,Naive,969097754.8139073,0.7600381140780166,0.0015568733215332031
"('Medium', 'Medium', 'Medium')",3,Relax,970721541.240877,0.0,0.17813682556152344
"('Medium', 'Medium', 'Medium')",3,Heur,970750379.8965701,0.002970847402457932,0.0036640167236328125
"('Medium', 'Medium', 'Medium')",3,Naive,977586592.4294149,0.7072111719867898,0.0013430118560791016
"('Medium', 'Medium', 'Medium')",4,Relax,833825747.2635366,0.0,0.17371106147766113
"('Medium', 'Medium', 'Medium')",4,Heur,833850757.7009344,0.002999480104796154,0.004105806350708008
"('Medium', 'Medium', 'Medium')",4,Naive,840591676.5081568,0.8114320368284075,0.0014150142669677734
"('Medium', 'Medium', 'Medium')",5,Relax,943507809.9597769,0.0,0.17962074279785156
"('Medium', 'Medium', 'Medium')",5,Heur,943542173.6325997,0.003642118534694274,0.0038747787475585938
"('Medium', 'Medium', 'Medium')",5,Naive,950508400.6258463,0.7419748508883921,0.0013461112976074219
"('Small', 'Medium', 'Medium')",1,Relax,18598203.6227706,0.0,0.0054111480712890625
"('Small', 'Medium', 'Medium')",1,Heur,18609129.891164273,0.058749052410069814,0.00016307830810546875
"('Small', 'Medium', 'Medium')",1,Naive,18700350.70624546,0.5492309125479002,0.00045108795166015625
"('Small', 'Medium', 'Medium')",2,Relax,11344966.44211876,0.0,0.00611114501953125
