Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Medium', 'Medium', 'Medium')",1,884088677.8993008,884122814.189521,891295556.5550244,0.13935351371765137,0.0022106170654296875,0.001102447509765625,0.003861183959651341,0.8151759926219129
"('Medium', 'Medium', 'Medium')",2,961787800.9501334,961810483.7452897,969097754.8139073,0.13436484336853027,0.0029993057250976562,0.0010004043579101562,0.002358399132722678,0.7600381140780166
"('Medium', 'Medium', 'Medium')",3,970721541.240877,970750379.8965701,977586592.4294149,0.13499093055725098,0.0029990673065185547,0.0010001659393310547,0.002970847402457932,0.7072111719867898
"('Medium', 'Medium', 'Medium')",4,833825747.2635367,833850757.7009344,840591676.5081567,0.13701725006103516,0.002999544143676758,0.0010004043579101562,0.0029994801047818565,0.8114320368283788
"('Medium', 'Medium', 'Medium')",5,943507809.9597768,943542173.6325997,950508400.6258463,0.1393892765045166,0.0030727386474609375,0.0005230903625488281,0.0036421185347069087,0.7419748508884048
"('Medium', 'Medium', 'Medium')",6,1036625236.1131608,1036653948.7100244,1043366428.7657,0.13722610473632812,0.0029990673065185547,0.0010004043579101562,0.002769814573602941,0.6503018079914125
"('Medium', 'Medium', 'Medium')",7,941309322.5012587,941335049.8550999,948426516.1936153,0.1400623321533203,0.004084110260009766,0.001004934310913086,0.0027331455480354245,0.7560951030894597
"('Medium', 'Medium', 'Medium')",8,902038387.9592625,902069535.3219796,909123697.1662141,0.1480119228363037,0.0030333995819091797,0.0010037422180175781,0.0034529974702759885,0.7854775696388214
"('Medium', 'Medium', 'Medium')",9,919009660.0002044,919036383.5952863,925907561.7838411,0.13335609436035156,0.0033402442932128906,0.0,0.0029078687901713937,0.7505798996318661
"('Medium', 'Medium', 'Medium')",10,869094177.2345227,869124750.5047663,876110042.8006761,0.13503265380859375,0.0030219554901123047,0.0010042190551757812,0.003517831673999882,0.8072618307578645
"('Medium', 'Medium', 'Medium')",11,891401073.612173,891430563.6319126,898193450.0356917,0.13732051849365234,0.002999544143676758,0.0010001659393310547,0.003308277341435897,0.7619888089201445
"('Medium', 'Medium', 'Medium')",12,975223284.0776465,975256340.5512841,982280140.5971389,0.1329951286315918,0.0031728744506835938,0.0011203289031982422,0.003389631295446894,0.7236144414011475
"('Medium', 'Medium', 'Medium')",13,1000067994.0608317,1000095798.1958559,1007025577.8175379,0.13820266723632812,0.003306150436401367,0.0011219978332519531,0.0027802244636676867,0.6957110714497103
"('Medium', 'Medium', 'Medium')",14,1037492353.8186073,1037519261.4424515,1044763433.685099,0.13230228424072266,0.002999544143676758,0.0009999275207519531,0.00259352502648431,0.7008321400856254
"('Medium', 'Medium', 'Medium')",15,1026716174.6517302,1026742336.6452004,1033726920.8678565,0.1447305679321289,0.0029997825622558594,0.0009999275207519531,0.0025481232414660553,0.6828319636149124
"('Medium', 'Medium', 'Medium')",16,950134188.7286874,950165148.5624454,957085472.1687799,0.14040446281433105,0.003281116485595703,0.0011224746704101562,0.0032584696062165595,0.7316107053671549
"('Medium', 'Medium', 'Medium')",17,941147438.0783019,941175992.2165421,948297872.6157131,0.13730621337890625,0.003364086151123047,0.0010945796966552734,0.003033970777046572,0.7597571058591468
"('Medium', 'Medium', 'Medium')",18,993764291.4551785,993791056.8785523,1001093086.646202,0.13873934745788574,0.003113985061645508,0.0011162757873535156,0.0026933372031938815,0.737478218330007
"('Medium', 'Medium', 'Medium')",19,1064157915.3394902,1064194847.8415482,1070870734.3001958,0.13556528091430664,0.003280162811279297,0.0015957355499267578,0.0034705847248476165,0.6308104148775794
"('Medium', 'Medium', 'Medium')",20,868781489.8722788,868804849.6965979,875990554.9848047,0.1333754062652588,0.0022776126861572266,0.001108407974243164,0.0026888031791006957,0.8297903669178952
"('Medium', 'Medium', 'Medium')",21,925830525.9209306,925858336.097659,932530461.151183,0.13449978828430176,0.003291606903076172,0.001085042953491211,0.0030038085750850366,0.7236675657878
"('Medium', 'Medium', 'Medium')",22,1007222747.3339813,1007252257.0595605,1014305623.9531875,0.1364293098449707,0.0034279823303222656,0.0011227130889892578,0.002929811271376773,0.703208564138753
"('Medium', 'Medium', 'Medium')",23,1011912266.5970513,1011938415.9903414,1018980874.4280212,0.14500975608825684,0.003312826156616211,0.0011043548583984375,0.002584156171769673,0.6985395932337962
"('Medium', 'Medium', 'Medium')",24,938775962.3068342,938810460.1479506,945778431.9715471,0.13827943801879883,0.0022470951080322266,0.0011315345764160156,0.003674768262244121,0.7459148876698851
"('Medium', 'Medium', 'Medium')",25,948513982.269005,948540756.9116184,955738776.2736683,0.13847613334655762,0.00335693359375,0.0011191368103027344,0.0028227989374876162,0.7616960993427241
"('Medium', 'Medium', 'Medium')",26,953798144.3255291,953826045.0949894,960076283.3020939,0.14060544967651367,0.003341197967529297,0.0011057853698730469,0.0029252279034418004,0.658225119635172
"('Medium', 'Medium', 'Medium')",27,952176155.2721556,952203982.6068153,959180828.9426475,0.13334274291992188,0.0030145645141601562,0.0010035037994384766,0.0029224985844916356,0.7356489271136709
"('Medium', 'Medium', 'Medium')",28,901498600.6041713,901525767.5610355,908886999.8811697,0.13569974899291992,0.0033235549926757812,0.001117706298828125,0.003013532893565324,0.8195685797012665
"('Medium', 'Medium', 'Medium')",29,952666373.4588386,952694085.6144758,959939178.2173501,0.13201093673706055,0.003457784652709961,0.0011258125305175781,0.002908904566102185,0.7634157099621588
"('Medium', 'Medium', 'Medium')",30,968266195.9434184,968295603.6974868,975549563.8831326,0.13667869567871094,0.0033359527587890625,0.001116037368774414,0.0030371559176163893,0.7522071895340446
"('Small', 'Medium', 'Medium')",1,18598203.6227706,18609129.89116427,18700350.70624546,0.005152463912963867,0.0,0.0,0.05874905241004979,0.5492309125479002
"('Small', 'Medium', 'Medium')",2,11344966.44211876,11353784.302031701,11471504.450209312,0.013124942779541016,0.0,0.0,0.07772486554217105,1.1153669668054125
"('Small', 'Medium', 'Medium')",3,22139673.18363606,22146519.439229485,22242350.647835642,0.004037380218505859,0.0,0.0,0.030923020121557277,0.46377136350626674
"('Small', 'Medium', 'Medium')",4,15722371.036050271,15728352.9164447,15818832.952551732,0.005054950714111328,0.0,0.0,0.03804693567346137,0.6135328843231109
"('Small', 'Medium', 'Medium')",5,17057896.992888078,17063058.0055123,17184945.386372436,0.005008697509765625,0.0,0.0,0.030255855257975573,0.7448068981617595
"('Small', 'Medium', 'Medium')",6,20354582.298599653,20357371.44642673,20446057.084928393,0.003999471664428711,0.0,0.0,0.013702800608536897,0.4494063547304219
"('Small', 'Medium', 'Medium')",7,16290446.858278528,16295609.431895144,16396434.086486593,0.004999399185180664,0.0,0.0,0.03169080419665036,0.6506097047559142
"('Small', 'Medium', 'Medium')",8,12002745.177846795,12011000.15300465,12160237.272875717,0.0044896602630615234,0.0,0.0,0.06877572618213294,1.312133955152207
"('Small', 'Medium', 'Medium')",9,22371248.804614928,22377805.146874957,22532949.714985304,0.005158185958862305,0.0010209083557128906,0.0,0.029307001666695826,0.7228068123627455
"('Small', 'Medium', 'Medium')",10,17311899.917396713,17320101.442216504,17433998.398957003,0.0042095184326171875,0.0010488033294677734,0.0,0.04737507066771806,0.7052864338569402
"('Small', 'Medium', 'Medium')",11,16494230.740725111,16501125.030741723,16612699.01463958,0.0041048526763916016,0.0,0.0,0.04179819068245286,0.71824067321894
"('Small', 'Medium', 'Medium')",12,16546143.807871668,16556291.641356973,16686331.605592122,0.004197120666503906,0.0,0.0,0.06133050457640515,0.8472535918233808
"('Small', 'Medium', 'Medium')",13,14012528.595135313,14020789.757213853,14127868.144495375,0.005147457122802734,0.0,0.0010111331939697266,0.058955541267610864,0.8231173165998392
"('Small', 'Medium', 'Medium')",14,20876001.962882314,20879782.090268917,20989420.90769074,0.004157543182373047,0.0,0.0,0.018107525537335162,0.5432982091594308
"('Small', 'Medium', 'Medium')",15,23942575.304766122,23947590.448106207,24054750.82325424,0.004411458969116211,0.0,0.0,0.020946549300761157,0.4685190171075138
"('Small', 'Medium', 'Medium')",16,17134163.462506678,17142979.948999725,17247453.579359885,0.004158496856689453,0.0,0.0,0.05145559929050368,0.6611943273513823
"('Small', 'Medium', 'Medium')",17,20432630.49732067,20441253.894577883,20574448.05880003,0.004606723785400391,0.0,0.0,0.0422040483644205,0.6940739299228085
"('Small', 'Medium', 'Medium')",18,13140170.750524301,13149646.101643227,13243410.295952752,0.0051076412200927734,0.0,0.0,0.07210980206286807,0.7856788727371129
"('Small', 'Medium', 'Medium')",19,16034209.259513156,16040207.50475114,16108095.989398975,0.004099130630493164,0.0,0.0,0.03740904924528774,0.46080682052955724
"('Small', 'Medium', 'Medium')",20,20877251.609427724,20885136.311153755,21024687.56875343,0.0040607452392578125,0.0,0.0,0.037766952631207426,0.7062038724442338
"('Small', 'Medium', 'Medium')",21,17844067.616556615,17849895.774500802,17973330.957320187,0.005034446716308594,0.0,0.0,0.03266159975083185,0.724405127470127
"('Small', 'Medium', 'Medium')",22,17475395.85120959,17482525.817301024,17606783.40411185,0.0039975643157958984,0.0,0.0,0.040800026231977406,0.751843071372649
"('Small', 'Medium', 'Medium')",23,17605238.03113278,17615640.21742051,17732468.473317444,0.004499912261962891,0.0,0.0,0.05908574635194308,0.7226851574495745
"('Small', 'Medium', 'Medium')",24,16055524.495307898,16060638.791798562,16156738.530753478,0.006188392639160156,0.0010075569152832031,0.0,0.031853811391576003,0.6304000562246301
"('Small', 'Medium', 'Medium')",25,18813863.6550742,18819639.589532286,18932911.634257343,0.0040585994720458984,0.0,0.0,0.030700416267376338,0.6327673112005
"('Small', 'Medium', 'Medium')",26,9613904.743025307,9620770.622331662,9671582.457837593,0.005040407180786133,0.0,0.0,0.0714161362097596,0.5999405689361569
"('Small', 'Medium', 'Medium')",27,17981970.099368222,17985630.989999864,18095523.120740015,0.004050016403198242,0.0,0.0,0.02035867377941427,0.6314826503675622
"('Small', 'Medium', 'Medium')",28,20406119.28889995,20413213.223644402,20569125.07875051,0.005039691925048828,0.0,0.0010068416595458984,0.034763762006968124,0.7988083747958251
"('Small', 'Medium', 'Medium')",29,10706707.481292574,10711368.59384594,10776709.550946567,0.004034280776977539,0.0,0.0,0.04353450919911387,0.653815094661972
"('Small', 'Medium', 'Medium')",30,13411866.514638528,13417297.387328392,13501269.737330407,0.004045248031616211,0.0,0.0,0.040493041620538656,0.6665979160640956
"('Large', 'Medium', 'Medium')",1,13176631595.917202,13176703590.621449,13275983577.978762,2.404327392578125,0.0616755485534668,0.01667022705078125,0.0005463817040223593,0.7540013647520055
"('Large', 'Medium', 'Medium')",2,13780026210.380405,13780097324.448822,13877040357.479176,3.0179972648620605,0.055973052978515625,0.016000747680664062,0.0005160662783284525,0.7040200476954827
"('Large', 'Medium', 'Medium')",3,12733260600.952654,12733327810.20767,12829357221.131453,2.8599343299865723,0.0575098991394043,0.01600050926208496,0.0005278243893893019,0.7546898095497165
"('Large', 'Medium', 'Medium')",4,13474266528.26586,13474335983.992924,13573000509.318941,2.7741692066192627,0.05723977088928223,0.015715360641479492,0.0005154694462843735,0.7327595965684716
"('Large', 'Medium', 'Medium')",5,13216465313.067495,13216530669.296915,13315260694.630125,3.0156357288360596,0.0590670108795166,0.01547694206237793,0.0004945061169652425,0.7475174278628636
"('Large', 'Medium', 'Medium')",6,13343249216.824188,13343321587.075972,13443731645.425919,2.751783847808838,0.05513429641723633,0.014631271362304688,0.0005423735299204412,0.7530581717310235
"('Large', 'Medium', 'Medium')",7,13417089321.744085,13417150603.634375,13514181714.182758,2.7537035942077637,0.05662941932678223,0.015357732772827148,0.0004567450422349921,0.7236472092447246
"('Large', 'Medium', 'Medium')",8,13282312810.482027,13282385962.374207,13379324703.143873,2.8374857902526855,0.05550670623779297,0.01642322540283203,0.00055074664498008,0.7303840381269074
"('Large', 'Medium', 'Medium')",9,13246792488.767632,13246869267.736427,13347311399.232458,2.9415366649627686,0.055341482162475586,0.015463590621948242,0.0005796042238970652,0.7588169781481796
"('Large', 'Medium', 'Medium')",10,12966348199.598436,12966417614.420652,13063971849.977451,2.6653387546539307,0.054193973541259766,0.01566624641418457,0.0005353459674805254,0.7529001140200626
"('Large', 'Medium', 'Medium')",11,13252201729.475365,13252275032.813536,13352823180.793959,2.77099871635437,0.06164145469665527,0.01539301872253418,0.0005531408264633112,0.7592810113567252
"('Large', 'Medium', 'Medium')",12,13044808929.074106,13044883615.253561,13142795019.153957,2.9381887912750244,0.061173200607299805,0.01798868179321289,0.0005725356336062834,0.7511500598637438
"('Large', 'Medium', 'Medium')",13,13162938281.106232,13163012722.939367,13265251715.501053,2.7240681648254395,0.05482292175292969,0.015659809112548828,0.0005655411546102658,0.7772841611031439
"('Large', 'Medium', 'Medium')",14,13368031514.729542,13368102695.684628,13471571812.799757,2.728107213973999,0.055916547775268555,0.015445232391357422,0.0005324714787463195,0.7745366096431591
"('Large', 'Medium', 'Medium')",15,13426763226.501972,13426830766.46213,13525313521.886126,2.7866597175598145,0.053748369216918945,0.015481948852539062,0.0005030248840918182,0.733984011795435
"('Large', 'Medium', 'Medium')",16,13836431148.64902,13836505161.286568,13935155128.395735,3.208977699279785,0.05579018592834473,0.01535344123840332,0.0005349113275909533,0.7135075416926054
"('Large', 'Medium', 'Medium')",17,13088714334.416405,13088784225.714666,13185694072.210962,2.746846914291382,0.05411195755004883,0.015499114990234375,0.0005339813863754766,0.7409416640681972
"('Large', 'Medium', 'Medium')",18,12859718037.43602,12859784589.856232,12959544793.049429,2.7616233825683594,0.05552530288696289,0.01565265655517578,0.0005175262787103943,0.7762748399521875
"('Large', 'Medium', 'Medium')",19,13453985478.041931,13454046734.714262,13553703359.094381,2.8433244228363037,0.058678388595581055,0.01683354377746582,0.00045530502787320914,0.7411772609328172
"('Large', 'Medium', 'Medium')",20,13570873517.23319,13570953751.890093,13668789819.87712,2.8305768966674805,0.054085493087768555,0.014770746231079102,0.0005912269154997722,0.7215180549696226
"('Large', 'Medium', 'Medium')",21,13498769953.297974,13498840202.186047,13597904417.796114,2.7315189838409424,0.055791616439819336,0.01487112045288086,0.0005204095507665464,0.7343962808546133
"('Large', 'Medium', 'Medium')",22,13355543412.250769,13355620491.26044,13454395332.523422,2.7690236568450928,0.0546572208404541,0.01578521728515625,0.000577131212807574,0.7401564820041595
"('Large', 'Medium', 'Medium')",23,13152836547.457262,13152916866.411598,13250208274.15359,2.976363182067871,0.05530881881713867,0.015723228454589844,0.0006106588038737077,0.7403097145242891
"('Large', 'Medium', 'Medium')",24,13103203367.330206,13103274494.588509,13200045433.935835,2.8354477882385254,0.06069064140319824,0.017964839935302734,0.0005428234326273826,0.7390716902637883
"('Large', 'Medium', 'Medium')",25,13259568461.584387,13259654720.98321,13356311078.205072,2.753549575805664,0.05447983741760254,0.015219926834106445,0.0006505445412699146,0.7296060720299323
"('Large', 'Medium', 'Medium')",26,12822385671.499681,12822463875.053133,12921693823.76436,2.882167100906372,0.059767961502075195,0.016338586807250977,0.0006098986214816571,0.7744904482588697
"('Large', 'Medium', 'Medium')",27,14047541461.257696,14047621797.97522,14142831678.298197,2.892861843109131,0.055637359619140625,0.01535797119140625,0.0005718916562384872,0.678340884796856
"('Large', 'Medium', 'Medium')",28,13611598234.838984,13611664167.808155,13709277678.44392,2.7909722328186035,0.05537533760070801,0.015352487564086914,0.00048438815217722296,0.7176192091456635
"('Large', 'Medium', 'Medium')",29,13264672397.929873,13264750211.236332,13363922504.881763,2.7347426414489746,0.0541994571685791,0.014920711517333984,0.0005866206425992901,0.7482288591415212
"('Large', 'Medium', 'Medium')",30,13046322670.059435,13046401783.38976,13148985757.810055,2.8409764766693115,0.05773782730102539,0.0169832706451416,0.0006064032932876445,0.7869120697606676
"('Medium', 'Low', 'Medium')",1,882872399.7478844,882887820.40823,891295556.5550244,0.19332671165466309,0.0042269229888916016,0.002338409423828125,0.0017466465539026843,0.9540627625855485
"('Medium', 'Low', 'Medium')",2,960713858.0459279,960731231.9433962,969097754.8139073,0.18593859672546387,0.00436711311340332,0.0010900497436523438,0.001808436229250052,0.872673658005939
"('Medium', 'Low', 'Medium')",3,969594560.5092005,969611211.5674481,977586592.4294149,0.1839299201965332,0.004374504089355469,0.0010886192321777344,0.0017173217472404982,0.8242653420020479
"('Medium', 'Low', 'Medium')",4,832856748.9324297,832871580.4959563,840591676.5081567,0.18021559715270996,0.003274202346801758,0.002085447311401367,0.0017808060684675678,0.928722446644246
"('Medium', 'Low', 'Medium')",5,942587292.3411685,942602269.3905442,950508400.6258463,0.1982262134552002,0.0044672489166259766,0.0011258125305175781,0.0015889296935516438,0.8403580601011016
"('Medium', 'Low', 'Medium')",6,1035432034.8274938,1035448448.1619902,1043366428.7657,0.19185781478881836,0.003359556198120117,0.0012171268463134766,0.0015851677313724808,0.7662882421373114
"('Medium', 'Low', 'Medium')",7,940122255.5754874,940137273.0955658,948426516.1936153,0.16626477241516113,0.003349781036376953,0.002207517623901367,0.001597400762438902,0.8833170972050399
"('Medium', 'Low', 'Medium')",8,900840426.1630491,900854927.022207,909123697.1662141,0.1689751148223877,0.003366231918334961,0.0021598339080810547,0.0016097034210246772,0.9195048049126696
"('Medium', 'Low', 'Medium')",9,917872053.6880572,917885099.4854056,925907561.7838411,0.1802978515625,0.004324197769165039,0.0010981559753417969,0.0014213089172898776,0.875449695139629
"('Medium', 'Low', 'Medium')",10,868045752.4149841,868062773.0250429,876110042.8006761,0.18829035758972168,0.003999233245849609,0.0019996166229248047,0.0019607964224733045,0.929016744020277
"('Medium', 'Low', 'Medium')",11,890284473.4463124,890298883.9781957,898193450.0356917,0.1894700527191162,0.004512786865234375,0.0021820068359375,0.0016186435137362596,0.8883651041069461
"('Medium', 'Low', 'Medium')",12,974073494.8699461,974087401.1579305,982280140.5971389,0.1858835220336914,0.0032944679260253906,0.001094818115234375,0.0014276425811409529,0.842507856995788
"('Medium', 'Low', 'Medium')",13,999014822.9537374,999030098.6891084,1007025577.8175379,0.19995927810668945,0.004706382751464844,0.0011591911315917969,0.001529079951569548,0.8018654658311801
"('Medium', 'Low', 'Medium')",14,1036414546.4003578,1036429116.5357704,1044763433.685099,0.19437694549560547,0.0036013126373291016,0.0011141300201416016,0.0014058211999415048,0.8055548152752442
"('Medium', 'Low', 'Medium')",15,1025475885.3265146,1025491410.4459257,1033726920.8678565,0.1689302921295166,0.004479408264160156,0.0011317729949951172,0.0015139429052656499,0.804605516268649
"('Medium', 'Low', 'Medium')",16,948968937.8666747,948984687.3197705,957085472.1687799,0.17597389221191406,0.003999233245849609,0.0020003318786621094,0.0016596384209581411,0.855300313659531
"('Medium', 'Low', 'Medium')",17,939975092.233173,939991636.3047891,948297872.6157131,0.18109512329101562,0.00402379035949707,0.0020313262939453125,0.001760054255985499,0.8854256300310065
