Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.1966238021850586
"('Medium', 'Medium', 'Medium')",1,Heur,869015351.2104971,-1.7049564218625441,0.005362033843994141
"('Medium', 'Medium', 'Medium')",1,Naive,982451326.1586965,11.125880323806076,0.0013680458068847656
"('Medium', 'Medium', 'Medium')",2,Relax,961787800.9501334,0.0,0.16726207733154297
"('Medium', 'Medium', 'Medium')",2,Heur,943743609.424194,-1.876109419158147,0.00500798225402832
"('Medium', 'Medium', 'Medium')",2,Naive,1047564511.0850965,8.918465180180672,0.0016269683837890625
"('Medium', 'Medium', 'Medium')",3,Relax,970721541.240877,0.0,0.2219829559326172
"('Medium', 'Medium', 'Medium')",3,Heur,952977803.4533383,-1.827891628412498,0.004996061325073242
"('Medium', 'Medium', 'Medium')",3,Naive,1067454944.8738189,9.96510322716102,0.0013010501861572266
"('Medium', 'Medium', 'Medium')",4,Relax,833825747.2635366,0.0,0.18550515174865723
"('Medium', 'Medium', 'Medium')",4,Heur,818521394.1581304,-1.8354378184689366,0.004599094390869141
"('Medium', 'Medium', 'Medium')",4,Naive,921118806.1044555,10.468980974430057,0.0011298656463623047
"('Medium', 'Medium', 'Medium')",5,Relax,943507809.9597769,0.0,0.17130708694458008
"('Medium', 'Medium', 'Medium')",5,Heur,927185935.4238364,-1.7299140890668783,0.004661083221435547
"('Medium', 'Medium', 'Medium')",5,Naive,1047213378.0000525,10.99149015467044,0.001155853271484375
"('Small', 'Medium', 'Medium')",1,Relax,18598203.6227706,0.0,0.0062160491943359375
"('Small', 'Medium', 'Medium')",1,Heur,18352449.348067418,-1.3213871602217244,0.0001761913299560547
"('Small', 'Medium', 'Medium')",1,Naive,27534586.958744384,48.04971231217501,3.3855438232421875e-05
"('Small', 'Medium', 'Medium')",2,Relax,11344966.44211876,0.0,0.005805015563964844
"('Small', 'Medium', 'Medium')",2,Heur,11162360.893176561,-1.6095732840977535,0.00016307830810546875
"('Small', 'Medium', 'Medium')",2,Naive,22751814.88587449,100.54545777594572,3.123283386230469e-05
"('Small', 'Medium', 'Medium')",3,Relax,22139673.18363606,0.0,0.00594782829284668
"('Small', 'Medium', 'Medium')",3,Heur,21720013.55355758,-1.895509597624338,0.00018310546875
"('Small', 'Medium', 'Medium')",3,Naive,32982136.891588163,48.973007044955,4.935264587402344e-05
"('Small', 'Medium', 'Medium')",4,Relax,15722371.036050273,0.0,0.005590915679931641
