Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",1,Relax,884088677.8993009,0.0,0.13584423065185547
"('Medium', 'Medium', 'Medium')",1,Heur,869015351.2104971,-1.7049564218625441,0.0027790069580078125
"('Medium', 'Medium', 'Medium')",2,Relax,905388922.0883106,0.0,0.10677671432495117
"('Medium', 'Medium', 'Medium')",2,Heur,888706746.3292559,-1.8425425087570821,0.002508878707885742
"('Medium', 'Medium', 'Medium')",3,Relax,890765689.1711001,0.0,0.1028289794921875
"('Medium', 'Medium', 'Medium')",3,Heur,875244266.30108,-1.74248099794499,0.0025827884674072266
"('Medium', 'Medium', 'Medium')",4,Relax,1010702423.7075402,0.0,0.10682225227355957
"('Medium', 'Medium', 'Medium')",4,Heur,992732688.940371,-1.7779451543463294,0.0026290416717529297
"('Medium', 'Medium', 'Medium')",5,Relax,856897374.3118119,0.0,0.10166192054748535
"('Medium', 'Medium', 'Medium')",5,Heur,841741825.6339675,-1.768653882271033,0.0024759769439697266
"('Medium', 'Medium', 'Medium')",6,Relax,924743696.9302111,0.0,0.09859609603881836
"('Medium', 'Medium', 'Medium')",6,Heur,907797345.1984309,-1.8325457949089525,0.0024766921997070312
"('Medium', 'Medium', 'Medium')",7,Relax,1019266631.8169478,0.0,0.10055994987487793
"('Medium', 'Medium', 'Medium')",7,Heur,1001619698.5074406,-1.7313363116822311,0.002669095993041992
"('Medium', 'Medium', 'Medium')",8,Relax,1042055988.4840218,0.0,0.10730981826782227
"('Medium', 'Medium', 'Medium')",8,Heur,1023483889.3902726,-1.7822553969262027,0.002744913101196289
"('Medium', 'Medium', 'Medium')",9,Relax,972870012.6806912,0.0,0.10619497299194336
"('Medium', 'Medium', 'Medium')",9,Heur,955160567.9808457,-1.8203299997959772,0.002601146697998047
"('Medium', 'Medium', 'Medium')",10,Relax,928197787.2105207,0.0,0.1059119701385498
"('Medium', 'Medium', 'Medium')",10,Heur,910910981.2890328,-1.8624054226027988,0.0026178359985351562
"('Medium', 'Medium', 'Medium')",11,Relax,1039247367.6958575,0.0,0.10388469696044922
"('Medium', 'Medium', 'Medium')",11,Heur,1020021004.6904982,-1.8500275875595014,0.0024902820587158203
"('Medium', 'Medium', 'Medium')",12,Relax,959481114.1205826,0.0,0.10158205032348633
"('Medium', 'Medium', 'Medium')",12,Heur,941307216.1211103,-1.8941381682253997,0.002396106719970703
"('Medium', 'Medium', 'Medium')",13,Relax,934019070.5324345,0.0,0.09531593322753906
"('Medium', 'Medium', 'Medium')",13,Heur,917912284.3916115,-1.7244600939080812,0.0025479793548583984
"('Medium', 'Medium', 'Medium')",14,Relax,1054717496.3218961,0.0,0.09781694412231445
"('Medium', 'Medium', 'Medium')",14,Heur,1035140589.0141193,-1.8561280509754627,0.0026497840881347656
"('Medium', 'Medium', 'Medium')",15,Relax,1002793982.8742695,0.0,0.10325503349304199
"('Medium', 'Medium', 'Medium')",15,Heur,983626885.4358487,-1.9113694104428973,0.002501964569091797
"('Medium', 'Medium', 'Medium')",16,Relax,906669855.9617856,0.0,0.2630116939544678
"('Medium', 'Medium', 'Medium')",16,Heur,889755563.2796078,-1.8655404247707434,0.0024831295013427734
"('Medium', 'Medium', 'Medium')",17,Relax,966304573.1861295,0.0,0.1038358211517334
"('Medium', 'Medium', 'Medium')",17,Heur,950534269.4046206,-1.6320220579636158,0.0026869773864746094
"('Medium', 'Medium', 'Medium')",18,Relax,925639757.4273435,0.0,0.09862303733825684
"('Medium', 'Medium', 'Medium')",18,Heur,909194590.9511425,-1.7766270673061246,0.0026280879974365234
"('Medium', 'Medium', 'Medium')",19,Relax,885375328.3249491,0.0,0.10226988792419434
"('Medium', 'Medium', 'Medium')",19,Heur,868738761.7385622,-1.879041131387952,0.0024738311767578125
"('Medium', 'Medium', 'Medium')",20,Relax,961659438.8294749,0.0,0.09519386291503906
"('Medium', 'Medium', 'Medium')",20,Heur,944297912.924864,-1.8053715487619193,0.002454996109008789
"('Medium', 'Medium', 'Medium')",21,Relax,1037199058.6791309,0.0,0.0966191291809082
"('Medium', 'Medium', 'Medium')",21,Heur,1017616309.0078481,-1.8880415969738082,0.0024709701538085938
"('Medium', 'Medium', 'Medium')",22,Relax,888986930.6080511,0.0,0.09718012809753418
"('Medium', 'Medium', 'Medium')",22,Heur,872243030.0824254,-1.8834810669458524,0.0023331642150878906
"('Medium', 'Medium', 'Medium')",23,Relax,959885110.087292,0.0,0.0979461669921875
"('Medium', 'Medium', 'Medium')",23,Heur,942533329.8118514,-1.807693451340505,0.010614156723022461
"('Medium', 'Medium', 'Medium')",24,Relax,927752277.4829476,0.0,0.09866023063659668
"('Medium', 'Medium', 'Medium')",24,Heur,910361191.4764693,-1.8745398344546735,0.0024161338806152344
"('Medium', 'Medium', 'Medium')",25,Relax,904375596.1230005,0.0,0.09736299514770508
"('Medium', 'Medium', 'Medium')",25,Heur,888187489.6579568,-1.7899760381019818,0.0024268627166748047
"('Medium', 'Medium', 'Medium')",26,Relax,1025166035.7781702,0.0,0.1035759449005127
"('Medium', 'Medium', 'Medium')",26,Heur,1006517784.8275464,-1.819046895800502,0.0025489330291748047
"('Medium', 'Medium', 'Medium')",27,Relax,934158616.9201976,0.0,0.10137605667114258
"('Medium', 'Medium', 'Medium')",27,Heur,918488560.6599749,-1.677451342458828,0.0025937557220458984
