Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Medium', 'Medium', 'Medium')",22,Relax,1007222747.3339813,0.0,0.5089268684387207
"('Medium', 'Medium', 'Medium')",22,Heur,1007252257.0595605,0.002929811271376773,0.006030082702636719
"('Medium', 'Medium', 'Medium')",22,Naive,1014305623.9531875,0.703208564138753,0.003206014633178711
"('Medium', 'Medium', 'Medium')",23,Relax,1011912266.5970511,0.0,0.5532166957855225
"('Medium', 'Medium', 'Medium')",23,Heur,1011938415.9903414,0.002584156171781454,0.010416030883789062
"('Medium', 'Medium', 'Medium')",23,Naive,1018980874.4280214,0.6985395932338317,0.002583026885986328
"('Medium', 'Medium', 'Medium')",24,Relax,938775962.3068342,0.0,0.3955221176147461
"('Medium', 'Medium', 'Medium')",24,Heur,938810460.1479506,0.003674768262244121,0.00786900520324707
"('Medium', 'Medium', 'Medium')",24,Naive,945778431.9715472,0.7459148876698979,0.0025811195373535156
"('Medium', 'Medium', 'Medium')",25,Relax,948513982.269005,0.0,0.350740909576416
"('Medium', 'Medium', 'Medium')",25,Heur,948540756.9116184,0.0028227989374876162,0.006001949310302734
"('Medium', 'Medium', 'Medium')",25,Naive,955738776.2736683,0.7616960993427241,0.002924680709838867
"('Medium', 'Medium', 'Medium')",26,Relax,953798144.325529,0.0,0.6908578872680664
"('Medium', 'Medium', 'Medium')",26,Heur,953826045.0949894,0.0029252279034542995,0.008634805679321289
"('Medium', 'Medium', 'Medium')",26,Naive,960076283.3020939,0.6582251196351846,0.0027430057525634766
"('Medium', 'Medium', 'Medium')",27,Relax,952176155.2721558,0.0,0.3398549556732178
"('Medium', 'Medium', 'Medium')",27,Heur,952203982.6068153,0.002922498584479115,0.00859379768371582
"('Medium', 'Medium', 'Medium')",27,Naive,959180828.9426475,0.7356489271136584,0.0026030540466308594
"('Medium', 'Medium', 'Medium')",28,Relax,901498600.6041712,0.0,0.3553450107574463
"('Medium', 'Medium', 'Medium')",28,Heur,901525767.5610355,0.0030135328935785477,0.005126953125
"('Medium', 'Medium', 'Medium')",28,Naive,908886999.8811697,0.8195685797012799,0.0018498897552490234
"('Medium', 'Medium', 'Medium')",29,Relax,952666373.4588386,0.0,0.49829721450805664
"('Medium', 'Medium', 'Medium')",29,Heur,952694085.614476,0.0029089045661146984,0.008630990982055664
"('Medium', 'Medium', 'Medium')",29,Naive,959939178.2173501,0.7634157099621588,0.0028848648071289062
"('Medium', 'Medium', 'Medium')",30,Relax,968266195.9434184,0.0,0.7599849700927734
"('Medium', 'Medium', 'Medium')",30,Heur,968295603.6974868,0.0030371559176163893,0.006765127182006836
"('Medium', 'Medium', 'Medium')",30,Naive,975549563.8831326,0.7522071895340446,0.003072977066040039
"('Small', 'Medium', 'Medium')",1,Relax,18598203.6227706,0.0,0.013612031936645508
"('Small', 'Medium', 'Medium')",1,Heur,18609129.891164273,0.058749052410069814,0.000431060791015625
"('Small', 'Medium', 'Medium')",1,Naive,18700350.70624546,0.5492309125479002,0.00028014183044433594
"('Small', 'Medium', 'Medium')",2,Relax,11344966.44211876,0.0,0.011811971664428711
"('Small', 'Medium', 'Medium')",2,Heur,11353784.302031701,0.07772486554217105,0.0006082057952880859
"('Small', 'Medium', 'Medium')",2,Naive,11471504.450209312,1.1153669668054125,0.0001621246337890625
"('Small', 'Medium', 'Medium')",3,Relax,22139673.18363606,0.0,0.011074066162109375
"('Small', 'Medium', 'Medium')",3,Heur,22146519.439229485,0.030923020121557277,0.0002796649932861328
"('Small', 'Medium', 'Medium')",3,Naive,22242350.647835642,0.46377136350626674,0.0001590251922607422
"('Small', 'Medium', 'Medium')",4,Relax,15722371.036050273,0.0,0.015517950057983398
"('Small', 'Medium', 'Medium')",4,Heur,15728352.916444704,0.03804693567347321,0.00032711029052734375
"('Small', 'Medium', 'Medium')",4,Naive,15818832.952551734,0.6135328843231108,0.00023293495178222656
"('Small', 'Medium', 'Medium')",5,Relax,17057896.992888074,0.0,0.012505054473876953
"('Small', 'Medium', 'Medium')",5,Heur,17063058.0055123,0.03025585525799742,0.0004432201385498047
"('Small', 'Medium', 'Medium')",5,Naive,17184945.38637244,0.7448068981618033,0.0002200603485107422
"('Small', 'Medium', 'Medium')",6,Relax,20354582.298599653,0.0,0.0339970588684082
"('Small', 'Medium', 'Medium')",6,Heur,20357371.44642673,0.013702800608536897,0.0004322528839111328
"('Small', 'Medium', 'Medium')",6,Naive,20446057.08492839,0.4494063547304036,0.0002510547637939453
"('Small', 'Medium', 'Medium')",7,Relax,16290446.85827853,0.0,0.01301717758178711
"('Small', 'Medium', 'Medium')",7,Heur,16295609.431895144,0.03169080419663892,0.0002989768981933594
"('Small', 'Medium', 'Medium')",7,Naive,16396434.086486595,0.6506097047559142,0.0001690387725830078
"('Small', 'Medium', 'Medium')",8,Relax,12002745.177846793,0.0,0.013507843017578125
"('Small', 'Medium', 'Medium')",8,Heur,12011000.153004648,0.06877572618213296,0.0004558563232421875
"('Small', 'Medium', 'Medium')",8,Naive,12160237.272875717,1.3121339551522229,0.00015091896057128906
"('Small', 'Medium', 'Medium')",9,Relax,22371248.804614928,0.0,0.013927221298217773
"('Small', 'Medium', 'Medium')",9,Heur,22377805.14687496,0.02930700166671248,0.0003528594970703125
"('Small', 'Medium', 'Medium')",9,Naive,22532949.714985304,0.7228068123627455,0.00017905235290527344
"('Small', 'Medium', 'Medium')",10,Relax,17311899.91739671,0.0,0.013474702835083008
